Key,Film Title,Year,Production,Type,Topic,Plot Summary
nv lan 5 hao,女篮5号,1957,Tianma Film Studio,Feature,1,解放前，篮球运动员田振华与球队老板的女儿林洁相爱。在一次和外国水兵的比赛中，老板受贿，指定让球队输球。但田振华出于民族自尊心，将球打赢了。老板指使流氓将田振华打伤，又强迫女儿嫁给有钱人。十八年过去了，田振华成了上海女子篮球队指导。林洁的女儿林小洁是一个很有前途的篮球队员，可是，由于家庭和朋友对她的影响，使她对体育事业有一些错误的看法。田振华对她进行了耐心地教育和帮助。林小洁在一次球赛中受重伤住进医院。在探望林小洁伤势的时候，田振华与林洁这一对久别的苦难情侣又见面了，双方解开了误会，重归于好。林小洁也被选为国家代表队的队员。
wu hai ye hang,雾海夜航,1957,Tianma Film Studio,Feature,0,一个初春的早晨，海燕号客轮自上海驶往宁波，船上载着一千三百多个不同职业、不同身份的旅客。在短暂的旅途中，因双目失明而悲观失望的刘教授，与海军政委谈心之后，重新获得了生命的活力；海军少尉周大海和女学生何美娟发生了爱情；怀孕的母亲在船上安全地产下一对双胞胎。夜晚，海面上涌起了重重的浓雾，过分自信的船长不听代理党支书和其他船员的劝告，仍冒着大雾快速航行，轮船终于触礁遇险。旅客中一位海军政委挺身而出，指挥船上旅客中的转业军人将全体乘客救出了舱面。由于无线电发报机被震坏，政委率领周大海和几个战士，不顾一切危险乘救生艇到附近海军基地求援。在党政机关和解放军的大力援救下，全船人员终于脱险。
xing fu,幸福,1957,Tianma Film Studio,Feature,9,沪新机器厂青年工人王家有受了资产阶级思想的影响，生活散漫，不遵守劳动纪律，追求个人的幸福，到处寻找对象，看上了装配车间女工胡淑芬。而胡淑芬正和王的好友、团支部书记刘传豪相爱。在一次晚会上，王家有要去了胡淑芬给刘传豪的晚会票，并自告奋勇替胡淑芬伴奏。这样，引起了刘传豪和胡淑芬之间的误会。之后，王家有自作多情地写了一封不具名的情书给胡淑芬，还约她到俱乐部相会。小起哄把王家有追求胡淑芬的消息到处广播。胡淑芬的父亲胡师傅拆阅了那封不具名的情书，认为胡淑芬确系爱上了王家有。而胡淑芬则误认为这封信是刘传豪写的。父女双方各执己见，争吵不休。在俱乐部门前，王家有丑态百出地向胡淑芬求爱，而胡淑芬却一心一意地在等待刘传豪。事后，王家有听说胡淑芬和刘传豪相爱，便去责问刘传豪，刘传豪不知所措、痛苦万分，恰好胡淑芬赶来，埋怨刘传豪失约，一场误会就此真相大白，刘传豪与胡淑芬重归于好。王家有也有所觉悟。
bai yue ji,拜月记,1957,Tianma Film Studio,Opera,2,王尚书之女瑞兰，在兵荒马乱时与母亲失散，遇秀才蒋世隆，两人互助相依，在客店中结为夫妻。{LINE_CUT}不久，战争结束了，世隆病倒在店中，瑞兰细心服侍，夫妻恩爱万分。一日，王尚书从边关回朝，路过客店，见到瑞兰，强迫女儿撇下世隆回京城。途中，巧遇王夫人，王夫人带着在路上收留的义女蒋瑞莲(蒋世隆的妹妹)一同回到家中。世隆病愈后，刻苦读书，中了状元。已升为宰相的王尚书奉圣旨招新科状元为婿，瑞兰执意抗婚，新科状元也不肯答应。王相国把状元请到府中询问拒婚原委，状元叙说了自己与瑞兰被拆散的经过。王相国满面羞愧，硬着头皮叫义女瑞莲出来认兄。瑞莲对哥哥说出嫂嫂瑞兰就是王相国的女儿，世隆又惊又喜，拜过岳父岳母，遂与瑞兰团聚。
chen san wu niang,陈三五娘,1957,Tianma Film Studio,Opera,0,书生陈三送哥嫂上任，路过潮州，欣逢元宵佳节，赏灯时与黄家五娘相遇，两人一见钟情。富豪之子林大，也于灯市看中五娘，随即托媒送聘。五娘之父黄九郎贪财允婚，五娘拒婚不成，万分悲伤。{LINE_CUT}某日，五娘与婢女益春绣楼赏夏，恰好陈三骑马寻访五娘，两人远远相见，五娘将荔枝手帕投落，以寄深情。陈三为向五娘叙衷情，化装磨镜匠来到黄府，假装替黄家磨镜，故意将宝镜打破，而后卖身为佣，以赔宝镜。{LINE_CUT}一年后，陈三因不明五娘的真情实意，大失所望，欲返乡里，丫环益春得知，婉言相劝，留下陈三。陈三修书托益春交给五娘。五娘约见陈三，两人盟誓永不分离。此时，由于五娘拖延婚事，引起林大不满，要三日内成亲。陈三设计与五娘私奔。
luo han qian,罗汉钱,1957,Jiangnan Film Studio,Opera,1,张木匠的妻子小飞娥在未嫁到张家以前，和保安相爱，保安赠给她一枚罗汉钱，约订终身。村里人认为他们的相爱不正经，小飞娥的父亲逼着她嫁给张木匠。婚后，小飞娥一直很痛苦。十几年后，小飞娥的女儿张艾艾与同村李小晚相爱，恰巧小晚也送给艾艾一枚罗汉钱。以村长为首的老封建们反对这对青年相爱，还指摘小飞娥{QUOTE}上梁不正下梁歪{QUOTE}。张木匠决意把艾艾另配人家，小飞娥则拒绝了媒婆为女儿说的亲事，支持女儿与小晚成亲。但村长不给结婚登记介绍信。艾艾和小晚直接到区政府去登记，因无介绍信被助理员拒绝。回来后，小飞娥母女受到村长和张木匠的斥责。不久，婚姻法颁布了，区长亲自来到张家庄，批评了村长的错误，大力宣传婚姻法。自此小飞娥解除了二十年的精神痛苦，艾艾和小晚得到了婚姻自由。
a fu xun bao ji,阿福寻宝记,1957,Jiangnan Film Studio,Feature,6,小学生阿福，为买玩具，卖掉了父亲从工厂带回来的苏制石油矿钢钻头样品。阿福知道自己做错事情后，非常悔恨，和父亲、妹妹到收旧货的商贩和旧货收购站去找钻头，均未找到，后又追到上钢十厂去寻找，不料厂保卫人员误把他当作特务抓起来审问，闹了一场误会。最后在上钢十厂的工人、科长的帮助下，在废铁堆里找到了钢钻头。
feng huang zhi ge,凤凰之歌,1957,Jiangnan Film Studio,Feature,1,金泉山住着李、吴两庄人，村里长年闹旱，为争水两庄人结下了世仇。李庄的童养媳金凤虽被未婚夫抛弃，但公婆仍留着她当劳力。合作化运动中，金凤在女指导员王琦的启发教育下，冲破封建势力的阻挠，参加了农业生产合作社，并和吴庄的村干部吴桂生彼此相爱。新富农李远民为了挑拨两庄的团结和阻挠办社，故意制造事端，嫁祸于吴庄，并诬本村金凤被吴庄人拐跑，企图挑起两庄人械斗。金凤不顾生命危险，前往阻止，几乎被人打死。王琦带着公安人员赶到，平息了这场械斗。李远民的破坏事件被揭发了，金凤赢得了人们的爱戴，当了合作社主任，公开了和吴桂生的爱情，开始了幸福的生活。
hu shi ri ji,护士日记,1957,Jiangnan Film Studio,Feature,11,简素华在上海某护士学校毕业后，不顾未婚夫沈浩如的反对，坚决到遥远的工地上去为工人们服务。工地医务站站长莫家彬只顾和护士顾惠英谈恋爱，不积极工作。简素华的到来，一度引起顾惠英争风吃醋。简用行动释开顾惠英的误会，并帮助莫家彬改正了缺点。她的未婚夫沈浩如害怕艰苦，不愿离开上海，并强迫简素华跟他回上海结婚，遭到简素华的断然拒绝。于是沈浩如独自回上海和别人结了婚。在艰苦的环境中，简素华和工区主任高昌平产生了爱情。由于她积极为工人们服务，受到工人们的拥护和赞扬。
cheng feng po lang,乘风破浪,1957,Jiangnan Film Studio,Feature,0,潮汕高级商船技术学校毕业生梁璎、黄柳花、袁璞君三人，毕业后被分配在一个船上实习。赵船长有丰富的航海经验，但思想保守，有轻视女同志的思想，因此随便派了大副尤人杰和水手长马骏负责她们的实习。她们三人在李政委和团支部的支持下，刻苦学习，终于提前完成了实习水手的任务。不久，黄柳花和袁璞君被调到别的轮船去实习驾驶，梁璎留在原船实习。赵船长对她还不很信任；水手长马骏对她态度生硬；自私自利的尤大副老是纠缠她，向她献殷勤。梁璎以无比的毅力克服了所碰到的一系列困难，终于感动了赵船长，使赵改变了对她的看法。一年后，梁璎和黄柳花、袁璞君先后当上了三副。梁璎和马骏建立了真挚的爱情。在党的培养下，梁璎升为二副。她沉着地驾驶着人民的轮船乘风破浪前进。
bu ye cheng,不夜城,1957,Jiangnan Film Studio,Feature,6,抗日战争时期，工商业者张伯韩从英国留学回到上海时，其父张耀堂开设的大光明纺织印染厂，正遭到日本纱厂买办宗贻春的逼迫，濒于倒闭。一心向往{QUOTE}工业救国{QUOTE}的张伯韩拒绝了宗贻春的收买，并把父亲与岳父开的纺织厂合并起来，在全国抵制日货的形势下，以经营{QUOTE}爱国牌{QUOTE}蓝布而发家致富。解放前夕，国民党的反动统治摇摇欲坠，张的工厂也处于风雨飘摇之中。张勾结官僚买办宗贻春，投靠美国银行，大做美棉生意，结果几乎破产。解放后，在人民政府的加工订货政策下，该厂生产有了很大发展。但张伯韩利欲熏心，非法牟利，成为不法资本家。在{QUOTE}五反{QUOTE}运动中，女儿文铮劝他坦白交待，反被殴打。文铮激于义愤，决然离家出走。后经工人的督促、帮助和妻子景萱的启发，张才逐渐醒悟，终于坦白交待了自己的不法行为，从而得到政府的从宽处理。最后，他的工厂走上公私合营的道路。
zhan dou li cheng zhang,战斗里成长,1957,August First Film Studio,Feature,12,一九三七年，在阎锡山统治的山西某村，地主杨有德和儿子杨耀祖勾结官府，强行霸占农民赵志忠的土地，赵志忠被逼得服毒自杀。他的儿子赵铁柱放火烧了地主的房子，远走他乡。铁柱的妻子怕杨家报复，也离开乡土，把儿子黑蛋改名石头，到处乞讨为生。十年后，石头参加了八路军，在营部当通讯员，营长赵钢就是他离别多年的亲生父亲铁柱，但他们却互不相识。家乡解放后，父子俩才彼此相认，一家人得到团圆。
shui,水,1957,August First Film Studio,Feature,5,一九四七年夏末，人民解放军第一野战军的医院转移途中，在沙漠地区遇到敌人的尾追和缺水的威胁。在一回民老汉的帮助下，解决了缺水问题。在急救药品缺乏的情况下，老汉又将给他的孙子治病的哉木哉美水献了出来。这时后面的敌人追上来了，老汉慌忙中将盛哉木哉美水的牛角丢在河滩里。伤员孙吉甫冒着生命危险去找牛角，途中负伤被俘。刘医生治好了老汉孙子的病，此时后面的敌人已经赶到，刘医生隐蔽在老汉家里。老汉给追上来的匪徒喝了有麻醉药的水，匪徒纷纷倒下，刘医生等缴了匪徒的械，救了被俘的孙吉甫，完成了转移任务。
liu bao de gu shi,柳堡的故事,1957,August First Film Studio,Feature,15,一九四四年春天，新四军某部的一个连队在苏北柳堡村整训。四班副李进在田老头家养伤时，爱上了田家的二妹子。指导员找李进谈话劝阻了他，因为谈恋爱在当时残酷的斗争环境下是部队纪律所不允许的。李进虽然向指导员表示放弃这种感情，但内心深处对二妹子还很留恋。队伍离开柳堡村后，汉奸伪军中队长刘胡子要强娶二妹子，派地主汪掌柜带狗腿子进村把二妹子抢走。部队闻讯前去营救，李进打死了汉奸地主，救回了二妹子。二妹子得救后更爱李进，李进的心又活了。不久，部队即将远征，李进陷入痛苦的矛盾之中。在指导员的帮助下，他终于放弃了个人的感情，随部队南征。五年后，李进已提升为连长，他得知二妹子在部队走后一直打游击，并入了党，当了干部，而且一直在等待着他。当李进带队伍路过柳堡村时，终于与带领粮船支前的二妹子重逢了。
wu geng han,五更寒,1957,August First Film Studio,Feature,6,一九四六年，蒋介石调集二十万人马进攻我中原解放区，我中原主力部队转入豫鄂陕地区后，大别山区又陷入敌手。县委刘书记和县委组织部长莫文阶领导游击队继续同敌人斗争。不久，莫文阶叛变投敌。游击队员南果祥的妻子、共产党员穆英被敌人抓去，后又被释放作为诱饵。贪图安逸的南果祥也曾一度动摇。刘书记和游击队在极端艰难的情况下，始终和人民保持联系，克服种种困难，打击敌人。冬去春来，我军展开反攻，歼灭了大别山区的敌人。
ji zhan qian ye,激战前夜,1957,August First Film Studio,Feature,3,一九五三年，盘踞在台湾的蒋介石集团和美帝国主义企图夺取我海防重地海马岛，指使潜伏在福建沿海某地的一个特务组织配合这次军事行动。暗藏的女特务林美芳和我作战参谋李坚结了婚。在发生通讯员黄小钢被打伤、渔民二春被暗杀等一系列事件后，师侦察科长鲁维智接受了破获特务组织的任务。他在海防民兵的协助下，侦察出敌人的行动计划，随后设下圈套，让女特务林美芳用相机拍去了我假防御图。然后鲁维智化装打入敌特内部，博得了特务头子陈封斋的信任。最后，我军里应外合将潜伏的特务一网打尽，彻底粉碎了敌人的军事阴谋。
chuan shan ju long,穿山巨龙,1957,Studio of Beijing Film Academy,Feature,12,龙尾机务段{QUOTE}巨龙号{QUOTE}机车的青年司机张龙，敢想敢干，用{QUOTE}巨龙号{QUOTE}机车来进行满载超轴的试验，遭到思想保守的父亲、指导司机张果祥的反对。因为{QUOTE}巨龙号{QUOTE}机车是机务段的一面红旗，张家祖孙三代都在这台机车上当过司机，张果祥怕试验失败而毁掉他家的荣誉。张龙背着父亲进行试验，结果真的失败了，因而受到父亲的批评。当他准备进行第二次试验时，传来另一台机车在这条新开辟的线路上发生事故的消息，机组内有的人也产生了动摇。党委洪书记帮助他们分析失败的原因，支持他们继续试验。最后，在洪书记和爷爷的指导下，终于试验成功，张果祥在事实面前认识了错误。
da mu jiang,大木匠,1957,Studio of Beijing Film Academy,Feature,4,在大跃进中，某农村大木匠正在家里试制插秧机，老伴桃叶妈因为女婿头一次登门，让大木匠进城为女婿买礼物。在进城的路上，大木匠遇到一个走亲戚的小伙子。他和小伙子只顾谈插秧机的事，把买礼物的事给忘了，并和小伙子一起回到自己的木工房，共同试制起插秧机来。这时，食堂的切菜机坏了，桃叶妈在院子里修理切菜机。大木匠和小伙子干活干饿了，就把桃叶妈为女婿准备的东西吃了。桃叶妈听见猫叫，才发现东西没有了，误以为是猫偷吃的。大木匠和小伙子做好了插秧机，桃叶妈才发觉大木匠根本没进城买东西，很是生气。大木匠却高高兴兴地陪着小伙子去找亲戚。原来小伙子就是女婿喜春，两人又回到大木匠家。桃叶妈以为老伴喜欢这个小伙子，想把女儿嫁给他。这时，桃叶从地里干活回来，于是真相大白，桃叶妈望着被喜春修好的切菜机，更加喜爱这个女婿了。
hua hao yue yuan,花好月圆,1958,Changchun Film Studio,Feature,5,由互助组向合作化过渡的时期，华北农村的三里湾村正筹划着开渠、扩社，党支部决定让村长范登高动员富裕农民糊涂涂让出他家祖传的刀把地。范登高非但不做糊涂涂的工作，反而带头反对支部决定，热衷于搞个人发家致富。范登高的女儿灵芝与糊涂涂的儿子有翼，都是共青团员，又是村里仅有的两个中学生，他们都恨自己的家庭落后，灵芝要走社会主义道路，和父亲进行斗争。有翼则怯弱，屈服于家庭的顽固势力。糊涂涂为了拉住儿子有翼不入社，保住刀把地，暗中和能不够商量，把能不够的女儿小俊嫁给有翼。灵芝原来就对有翼的怯弱很不满意，在玉生和小俊因志趣不合而离婚后，她和玉生由于工作中经常接触，便对玉生产生了好感。这时，当她听说有翼和小俊要结婚，终于离开了有翼，向玉生表白了自己的爱情。后来，有翼在玉梅等人的帮助下，鼓起勇气和家庭进行斗争，挣脱了家庭的包办婚姻，将自己所分得的一份土地交给合作社开渠，并促使全家入了社。经过青年们的斗争，三里湾村开渠、扩社的事终于成功。玉生与灵芝、有翼与玉梅、满喜与小俊分别实现了自由结婚的心愿。
min bing de er zi,民兵的儿子,1958,Changchun Film Studio,Feature,10,一九四七年，山东胶东地区某山村。土改时的被斗地主郝海与他的儿子郝根，勾结国民党反动派和还乡团，准备在三天之内血洗全村。民兵队长的儿子来春，得到这一情报后，正当他准备告诉父亲的时候，发现父亲已被敌人杀害。来春忍痛丢下父亲，把情报报告了游击队的王区长，并且勇敢地承担了回村配合部队行动的任务。他回到村中，不幸被敌人逮捕，虽然身受酷刑，但毫不屈服。正当敌人要开始活埋全村人民的时候，游击队及时赶到，消灭了还乡团，重新解放了来春的家乡。
hong hai zi,红孩子,1958,Changchun Film Studio,Feature,10,一九三四年，红军北上抗日之后，江西苏区李家坳的赤卫队在县苏维埃李主席的领导下，上山打游击。李主席的儿子苏保和他的小伙伴们目睹白军的暴行，决心给乡亲们报仇。他们背着大人们留下来，组成一支少年游击队，与国民党反动派展开斗争，消灭了很多敌人，夺到了不少枪支。在一次战斗中，李主席被捕。孩子们在李公公的领导下，黑夜混进村里，救出了李主席，并巧妙地打死了追捕他们的敌黄团长。
shui ku shang de ge sheng,水库上的歌声,1958,Changchun Film Studio,Feature,2,北京郊区某农业生产合作社女生产队长高兰香，和解放军某部排长谷志强原定春节结婚，后因部队打破常规过春节，志强随部队去十三陵水库工地参加建设，不能回来。恰好，合作社也要兴修水库，决定派兰香和志强的父亲谷景春到十三陵水库工地学习，因此，在工地上与志强巧遇。志强排与民工张水生中队、志强父亲与赶车的水生的父亲分别展开了劳动竞赛。兰香也参加了妇女突击队。除夕之夜，兰香和志强打破常规在工地举行了婚礼，婚礼刚一结束，他们又投入紧张的劳动。水库建成后，兰香和公公、景春老爹回到村中，同全村人一道修起了{QUOTE}青年号{QUOTE}水库。
dang de nv er,党的女儿,1958,Changchun Film Studio,Feature,4,第二次国内革命战争时期，江西老根据地的红军北上抗日后，江西兴国县桃花乡处于白色恐怖下，党组织被敌人破坏。女共产党员玉梅死里逃生，又落到叛徒马家辉的手中。幸得马家辉的妻子桂英相助，才脱离了险境。玉梅独自到东山去找党组织，途中遇到秀英和惠珍，玉梅蒙受了她们两人的误会，经过解释，才把误会消除。于是，她们三人成立了党小组，领导群众坚持斗争。不久，游击队派通讯员小程来领取党小组为游击队准备的给养，被敌人包围。玉梅为了掩护小程，被敌人逮捕，壮烈牺牲。
xu qiu ying an jian,徐秋影案件,1958,Changchun Film Studio,Feature,3,民政局战勤科工作人员徐秋影在和她的同事何彬结婚的前夜，被人暗杀。公安局侦察科长汪亮和处长杜永楷到现场侦察时，找到了一个军服钮扣和一个子弹壳。徐秋影以前曾爱过转业军人彭放，失落的钮扣是彭放衣服上的，徐秋影遇害时，彭放恰恰从江心岛旁经过，汪等又在彭放家搜到了手枪和子弹。根据这些线索，杜永楷认为凶手是彭放。侦察科长汪亮对此提出了许多疑点。经过侦察，案情终于大白。原来徐秋影曾参加过特务组织，进行过特务活动，解放后一直没有坦白交待，也不敢检举别人，内心处于极端矛盾和苦恼中。暗藏的特务邱涤凡和罗精达要她搜集我方战勤情报，她不愿意干，邱、罗就合谋把她暗杀了。为了转移公安人员的视线，邱给彭放栽赃，制造了一系列假线索。后来，邱在盗窃我军战勤情报时被我公安人员逮捕，特务头子罗精达及其同伙也均被破获。
xuan ya,悬崖,1958,Changchun Film Studio,Feature,0,某医学院毕业生方晴和范钧相爱。在分配工作时，范钧要求到环境艰苦的西北去工作，方晴坚持要留校工作，两人因此闹翻。方晴留校以后，在范钧的舅舅袁教授的诱导下，资产阶级名利思想逐渐增长。品质恶劣的袁教授抓住方晴的弱点，以一部未完成的著作为钓饵，请她帮助整理和进行实验，以致使方晴不但忘记了自己的工作，而且对范钧的感情也逐渐冷淡了。当袁教授为进一步迎合方晴一举成名的思想，在出版的著作上署上自己和方晴的名字时，方晴的感情便完全被袁教授占有了。正当他们举行婚礼的时候，袁教授的朋友赵纹从国外回来，当众揭露了袁教授盗窃她丈夫生前遗著的卑鄙行为。方晴通过这次惨痛的教训，开始理解了党支部和同志们过去对她的批评帮助，范钧也向她伸出了友谊之手，她决定走上新的工作岗位去锻炼改造自己。
gu cha zhong sheng,古刹钟声,1958,Changchun Film Studio,Feature,15,抗日战争时期，一伙日伪特务暗藏在一座古庙中，进行骚扰破坏活动。我侦察人员王科长以养病为由，带着警卫员虎子，深入古庙侦察。古庙中只有一个老和尚和一个哑巴小和尚。他们在与小和尚的接触中，了解到五年前匪徒杀死了庙里的全部和尚，潜伏在庙里，进行特务活动。匪首高旅长披上袈裟装扮成老和尚，并用药酒把小和尚毒哑。王科长在侦察到大殿下的地下室里潜伏着特务集团后，便留下警卫员虎子继续监视匪特，自己借检查身体为名，回去报告。老和尚虽然知道王科长是来庙中搞侦察的，但怕在庙中杀死王科长暴露了秘密，所以派一个匪特埋伏在半路。当匪特举枪向王科长瞄准时，暗中保护王科长的猎人牛生海将匪特打死，救了王科长。王科长向周部长报告了庙中的情况。正当匪特把小和尚和警卫员虎子吊起来进行拷打时，王科长率队伍赶到，把暗藏在古庙里的日伪特务一网打尽，救出了小和尚和虎子。
ta ai shang le gu xiang,她爱上了故乡,1958,Changchun Film Studio,Feature,10,初中毕业生刘玉萃没考上高中，回到农村，不安心农业劳动，总感到有些屈才，进城找工作又没找到，就赌气要了父亲的自留地来种。青年团干部周昌林主动去帮助她，并推荐她担任村民校教员。事实使刘玉萃认识到知识青年在农村大有用武之地，她改变了以前的看法，爱上了自己的故乡，并和周昌林结了婚。
gong di qing nian,工地青年,1958,Changchun Film Studio,Feature,0,某建设工地青年技术员尚越，看到工程进度慢，为了提高工效，提出一个机械化方案，但由于方案脱离实际，行不通。后来，工地因受到特大暴风雨袭击，影响了工程进度，在这种情况下，具有保守思想的工段长，看不到群众的力量，主张向上级要求支援。工长温国茂和靳书记则依靠群众，大搞技术革新。尚越在工人们的鼓舞下，又提出一个不切实际的革新方案，实验结果又失败了，这时，尚越由于工段长白福的反对和爱情问题受到挫折，思想斗争很激烈，后在领导和工人的批评、帮助下，他认识到自己的错误，与工人一起刻苦钻研，终于实现了工程机械化，大大提高了工效，提前完成了任务。
nv she zhang,女社长,1958,Changchun Film Studio,Feature,10,一九五二年华北某地农业合作社会计刘寿生，在村里投机商人赵全有的小恩小惠拉拢腐蚀下，盗用了合作社的公款。这使不满意社里留公积金的老社员吴老瑞有了借口，乘机闹着要退社。社管委会对刘寿生的贪污问题议论纷纷。合作社女社长宋春梁对丈夫的犯罪行为非常痛恨，可是寿生娘一味袒护儿子，劝媳妇宋春梁到社里去说情。宋春梁虽然非常爱自己的丈夫，但为了全体社员的利益，她大公无私地把盗用公款的丈夫送交法院，缓和了社里的矛盾。后来，寿生在劳动改造中表现很好，被法院提前释放回来。这时社里正在开发水利，一天，合作社党支部书记孙书年叫寿生进城去取水利贷款，从而引起一些人的怀疑和不满。吴老瑞在赵全有的挑动下，又闹着要退社。结果寿生如数取回了贷款。后，扰乱国家粮食市场的奸商赵全有受到县人民法院的依法惩办，吴老瑞等也受到了教育；为了合作社的发展，经受很多委屈和困难的宋春梁得到了大家更大的信任。
li ming de he bian,黎明的河边,1958,Changchun Film Studio,Feature,8,一九四七年秋，国民党军队侵占了昌潍平原。由于叛徒的出卖，使据守潍河东岸赵庄的武工队遭受很大损失，武工队马队长牺牲了。通讯员小陈回河西司令部送信。司令部了解到这一情况后，即派姚队长到河东领导武工队进行斗争。为护送姚队长过河，小陈的母亲和弟弟被敌人杀害，小陈的父亲陈克泰亲自为姚队长划船，小陈为掩护姚队长过河，打死了叛徒陈兴，自己也负了伤。不久，姚队长率领河东武工队展开大反攻，小陈父子又投入了战斗。
dong feng,东风,1958,Changchun Film Studio,Artistic Documentary,13,为了向党的八届二中全会献礼，长春第一汽车制造厂工人提出要在十二天内试制成{QUOTE}东风{QUOTE}牌小轿车。迷信书本和外国的工程师单宁，不相信工人的智慧，对此持怀疑态度。外号{QUOTE}黑旋风{QUOTE}的青年铣工李涛，承担了汽车上关键部件轴瓦的试制任务。正在医院休养的老工人李士林提前回厂，帮助儿子李涛。在试制过程中，生产轴瓦的组合圆拉刀损坏了。李涛的未婚妻调度员单元梅，找哥哥单工程师前来帮助，单工程师认为李涛缺乏理论修养，完不成任务，不愿帮助。李士林根据多年的工作经验，帮助儿子找到了用滚珠压代替拉刀的新方法，但又没有十分把握。为此，李涛去找单工程师给予技术上的指导，单工程师很冷淡，结果试验失败了。之后，李涛在技术员的帮助下，创造了试制轴瓦的单圆刀，并将轴瓦试制成功，使{QUOTE}东风{QUOTE}牌小轿车按期制成。
xin lian xin,心连心,1958,Changchun Film Studio,Feature,3,抗日战争前夕，贫苦农民田二牛为了养活全家，向地主杨老成借了二百吊钱，在地里打了一眼井，可是收获的粮食还不够还地主的利息钱。为了全家人活命，他又赶着小毛驴驮煤去集市，赚点钱抵偿杨老成的利息。不幸，小毛驴又被坏人偷去。在走投无路的情况下，他只好忍痛把自己仅有的四亩活命地交给杨老成抵债。一天晚上，杨老成抓到了共产党员刘栋，准备斩首示众。田二牛冒着生命危险救了刘栋。在刘栋的启发和教育下，田二牛由忍受地主压迫到开始觉醒。他团结广大受压迫的贫苦农民，与杨老成展开了斗争。抗日战争爆发后，田二牛参加了煤矿工人的斗争行列，后来又回村建立抗日民主政权，领导群众开展抗日锄奸斗争，继而又参加了八路军，一直战斗到全国解放。
huan nan zhi jiao,患难之交,1958,Changchun Film Studio,Feature,13,在日伪统治下的长白山麓的一个山村里，汉族青年刘金保与朝鲜族青年金永俊为了全家的生活，冒生命危险到山里去挖人参。他们在山里遇到日寇的讨伐队，永俊为了金保的安全，被日寇打伤，坠下山崖。金保独身归来，把卖人参的钱全都送给了永俊家，并把永俊家地里的庄稼活都承担了下来。永俊的妹妹惠淑对他很感激，两人由此产生爱情。汉奸小棒子利用永俊未归之机，扬言要以谋财害命的罪名逮捕金保，从而诈去了金保他们用生命换来的钱。一日，小棒子意欲侮辱永俊的未婚妻顺女，金保将顺女救下。小棒子恼羞成怒，以谋财害命的罪名逮捕了金保。恰在这时，永俊回来了，原来永俊摔下崖后被抗日联军的战士们救了。当他回到家中听说金保因为他被捕，立刻前往替金保作证。金保被释后，小棒子仍不甘心，又以私通游击队的罪名将永俊逮捕。晚上，金保救出了永俊，并让永俊与顺女到山里去投奔游击队，为了掩护他们，金保与惠淑被敌人逮捕。永俊与顺女怀着报仇的心情，投奔了抗日游击队。
san nian zao zhi dao,三年早知道,1958,Changchun Film Studio,Feature,6,有个外号叫{QUOTE}三年早知道{QUOTE}的农民赵满囤，无论做什么事总要先算算对自己有没有利。农业合作化时期，他怕吃亏，迟迟不愿入社。他的弟弟从部队来信叫满囤入社，不然就要分家，满囤只好牵着牲口入了社，在社里当上了饲养员。由于私心重，他总把好饲料留给自己的牲口吃。派他赶马车，他却拉脚做买卖。让他进城拉肥料，他用合作社买肥料的钱买小猪。分配他打井，他却偷偷地去贩卖红枣。后来在社长和大家的帮助与教育下，终于使他认识到自己的错误，克服了自私自利的思想，并且被选为合作社的水利委员。从此他工作积极，还把自己存在银行的钱全部取出来支援社里的水利建设，在全社水利化运动中起了很大作用，成为优秀的社员。
bing jian qian jin,并肩前进,1958,Changchun Film Studio,Feature,15,一九五五年农业合作化时期，红旗农业社副社长刘麦闹在成绩面前产生骄傲自满思想。曙光社社长魏虎头在副社长刘二兴的影响下，热衷于跑运输，不重视农业生产。刘麦闹对魏虎头的错误不进行批评帮助，反而讽刺打击，加上一些落后社员的挑动，致使两社闹不团结。红旗社社长郑德明的女儿郑秀芝与曙光社魏虎头的儿子魏小松相爱，小松在秀芝的启发下，与父亲的错误思想进行斗争。郑德明以大局为重，帮助刘麦闹和魏虎头克服各自的缺点和错误，促使两社团结一致，并肩前进。
bai shou qi jia,白手起家,1958,Changchun Film Studio,Artistic Documentary,3,辽宁省本溪合金厂是个白手起家的工厂。最初，工厂仅有一把勺子，两口锅，三个模子，四个工人，他们利用一座破庙当厂房进行生产，在极端困难的条件下办起了工厂。后来，工厂里暗藏的反革命分子和当了党支部书记的阶级异己分子相勾结，进行破坏捣乱，使产品质量下降，厂长决定工厂下马停办。在省工业局王局长的支持下，共产党员、技师苏新军带领工人修建反射炉，没有耐火砖，他们就拣废砖；没有磨砖机，就用手磨。炉子修好后，工人们不会操作，试炼失败了，加上另一工厂的厂长和工程师的泼冷水，不少工人很泄气。这时，工业局长亲临现场进行鼓励，苏新军从失败中总结教训，集中群众的智慧，改修了反射炉，终于炼出了精铜。不久，反革命分子被捕，支书和厂长被撤职，苏当了工厂厂长。随后，大连造船厂向该厂订购三吨半磷青铜镍合金。这是一种制作困难的新产品，又因订货少，车间主任和财务科长认为是赔本交易，拒绝接受订货。党总支书记张四维和厂长苏新军发扬社会主义工业大协作的精神，接受了订货。他们还为了协助别的工厂解决困难，派供销人员到处奔走，送货上门，从而也解决了生产利润问题。在该厂建厂十一年的时候，他们已经生产出了274种优质合金产品。
